"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.38070000.31100000","3807.3110.4","1kmN3110E3807",4000,1000000,98,51,47
"4.0.38070000.31110000","3807.3111.4","1kmN3111E3807",4000,1000000,62,26,36
"4.0.38070000.31120000","3807.3112.4","1kmN3112E3807",4000,1000000,31,14,17
"4.0.38070000.31130000","3807.3113.4","1kmN3113E3807",4000,1000000,67,32,35
"4.0.38070000.31140000","3807.3114.4","1kmN3114E3807",4000,1000000,327,164,163
"4.0.38070000.31150000","3807.3115.4","1kmN3115E3807",4000,1000000,109,55,54
"4.0.38070000.31160000","3807.3116.4","1kmN3116E3807",4000,1000000,62,33,29
"4.0.38070000.31170000","3807.3117.4","1kmN3117E3807",4000,1000000,84,41,43
"4.0.38070000.31180000","3807.3118.4","1kmN3118E3807",4000,1000000,4,2,2
"4.0.38070000.31190000","3807.3119.4","1kmN3119E3807",4000,1000000,17,7,10
"4.0.38070000.31200000","3807.3120.4","1kmN3120E3807",4000,1000000,16,7,9
"4.0.38070000.31210000","3807.3121.4","1kmN3121E3807",4000,1000000,239,119,120
"4.0.38070000.31220000","3807.3122.4","1kmN3122E3807",4000,1000000,16,8,8
"4.0.38070000.31230000","3807.3123.4","1kmN3123E3807",4000,1000000,32,16,16
"4.0.38070000.31240000","3807.3124.4","1kmN3124E3807",4000,1000000,13,6,7
"4.0.38070000.31250000","3807.3125.4","1kmN3125E3807",4000,1000000,30,14,16
"4.0.38070000.31260000","3807.3126.4","1kmN3126E3807",4000,1000000,84,50,34
"4.0.38070000.31270000","3807.3127.4","1kmN3127E3807",4000,1000000,17,9,8
"4.0.38070000.31280000","3807.3128.4","1kmN3128E3807",4000,1000000,7,3,4
"4.0.38070000.31290000","3807.3129.4","1kmN3129E3807",4000,1000000,10,4,6
"4.0.38070000.31300000","3807.3130.4","1kmN3130E3807",4000,1000000,9,4,5
"4.0.38070000.31310000","3807.3131.4","1kmN3131E3807",4000,1000000,958,469,489
"4.0.38070000.31320000","3807.3132.4","1kmN3132E3807",4000,1000000,2290,1255,1035
"4.0.38070000.31330000","3807.3133.4","1kmN3133E3807",4000,1000000,1106,552,554
"4.0.38070000.31340000","3807.3134.4","1kmN3134E3807",4000,1000000,0,0,0
"4.0.38070000.31350000","3807.3135.4","1kmN3135E3807",4000,1000000,85,43,42
"4.0.38070000.31360000","3807.3136.4","1kmN3136E3807",4000,1000000,1669,867,802
"4.0.38070000.31370000","3807.3137.4","1kmN3137E3807",4000,1000000,342,170,172
"4.0.38070000.31380000","3807.3138.4","1kmN3138E3807",4000,1000000,138,68,70
"4.0.38070000.31390000","3807.3139.4","1kmN3139E3807","2836,44634954","436381,137002",0,0,0
"4.0.38080000.31000000","3808.3100.4","1kmN3100E3808","2220,33118642","180459,571432",0,0,0
"4.0.38080000.31010000","3808.3101.4","1kmN3101E3808","3063,82091635","511921,919149",3,1,2
"4.0.38080000.31020000","3808.3102.4","1kmN3102E3808","3207,85325501","582775,889851",5,2,3
"4.0.38080000.31030000","3808.3103.4","1kmN3103E3808","3960,81337575","964215,594285",28,12,16
"4.0.38080000.31040000","3808.3104.4","1kmN3104E3808",4000,1000000,42,21,21
"4.0.38080000.31050000","3808.3105.4","1kmN3105E3808",4000,1000000,29,16,13
"4.0.38080000.31060000","3808.3106.4","1kmN3106E3808",4000,1000000,232,118,114
"4.0.38080000.31070000","3808.3107.4","1kmN3107E3808",4000,1000000,829,418,411
"4.0.38080000.31080000","3808.3108.4","1kmN3108E3808",4000,1000000,430,222,208
"4.0.38080000.31090000","3808.3109.4","1kmN3109E3808",4000,1000000,42,17,25
